2022,2023,
Akane Yamaguchi,An Se Young,
Tai Tzu Ying,Chen Yu Fei,
Chen Yu Fei,Akane Yamaguchi,
An Se Young,Tai Tzu Ying,
He Bing Jiao,Carolina Marin,
Ratchanok Intanon,He Bing Jiao,
Pusarla Venkata Sindhu,Gregoria Mariska Tunjung,
Wang Zhi Yi,Han Yue,
Carolina Marin,Zhang Beiwen,
Han Yue,Wang Zhi Yi,
